09-17 15:27:34: Training starting...
09-17 15:27:36: New best reward -7.5 (-100.0%) at episode 0, saving model...
09-17 15:27:36: New best reward -5.7 (-24.0%) at episode 2, saving model...
09-17 15:27:37: New best reward -4.5 (-21.1%) at episode 12, saving model...
09-17 15:27:40: New best reward -3.9 (-13.3%) at episode 228, saving model...
09-17 15:27:42: New best reward -3.3 (-15.4%) at episode 501, saving model...
09-17 15:27:44: New best reward -2.7 (-18.2%) at episode 688, saving model...
09-17 15:27:50: New best reward -0.9 (-66.7%) at episode 1323, saving model...
09-17 15:27:58: New best reward 0.9 (-200.0%) at episode 2142, saving model...
09-17 15:28:07: New best reward 2.1 (+133.3%) at episode 3015, saving model...
09-17 15:28:08: New best reward 3.9 (+85.7%) at episode 3121, saving model...
09-17 15:29:38: New best reward 4.5 (+15.4%) at episode 11171, saving model...
09-17 15:29:47: New best reward 4.6 (+2.2%) at episode 11960, saving model...
09-17 15:29:55: New best reward 8.4 (+82.6%) at episode 12588, saving model...
09-17 15:32:13: New best reward 8.5 (+1.2%) at episode 22492, saving model...
